### SHEET: ETB-1 ###
ASTEA|Unnamed: 1|ASTELEHENA|ASTEARTEA|ASTEAZKENA|OSTEGUNA|OSTIRALA|LARUNBATA|IGANDEA|Unnamed: 9|Unnamed: 10|Unnamed: 11|Unnamed: 12|Unnamed: 13|Unnamed: 14|Unnamed: 15|Unnamed: 16
1.0||29|30|31|01|02|03|04||||||||
||||||||||||||||
|||||||ZUZENEKOAK|||||||||
||||||||||||||||
|||AURRERA ASTROMUTIL AURRERA|||230082  atal 1|IPUIN TXIKI, SOINU HANDI         240058 atal 1|||||||||
|||IDEFIX ETA MENDERAKAITZAK|||||||||||||
|07:00:00|||220474  1-2 atal|||AURRERA ASTROMUTIL AURRERA||07:00:00|||||||
||||ROBIN HOOD||||||||||||
|||||||230082  2 ATAL|||||||||
||||240069 / 240070  2 atal|||LANDAKO UMEAK|||||||||
|07:30:00|||POTTOKIAK|||||07:30:00|||||||
|||||||240071  2 ATAL|||||||||
|||240092 - 2-3 ATAL||||POTTOKIAK|||||||||
||||||||||||||||
|08:00:00||MAKUSI ZORIONAK  (246147)  88||||240092  2 ATAL||08:00:00|||||||
||||POTX ETA LOTX|246167  atal 1||YOKO|||||||||
||||AMESLARIEN BANDA|246388  atal 1|||||||||||
||||SUPERDINO|||216268  2 ATAL|||||||||
|08:30:00|||220222  2-3 atal|||TXAKUR PATRULLA||08:30:00|||||||
||||LANDAKO UMEAK||||||||||||
|||||||240327  2 ATAL|||||||||
|||240071   2-3 ATAL||||LUR ETA AMETS|||||||||
|09:00:00||||||||09:00:00|||||||
|||IPUIN TXIKI, SOINU HANDI|||240058  2-3 atal|186061  2 ATAL|||||||||
|||||||LOA ETA LAIA   230252   2 atal|||||||||
|||LOA ETA LAIA|||230252   atal 1||||||||||
|09:30:00|||YOKO|||09:30  MAKUSI ZORIONAK|BIZI BERRIA - 1|09:30:00|||||||
|||||||266044/001|||||||||
||||216268  2 atal|||POTX ETA LOTX   2 ATAL|EGI BIDEAN - 1||||||||
||||||||||||||||
|10:00:00|||TXAKUR-PATRUILA|||AMESLARIEN BANDA   atal 1||10:00:00|||||||
||||||||MEZA SANTUA||||||||
|||240327 / 240328 - 2-3 ATAL||||SUPER DINO|||||||||
||||||||||||||||
|10:30:00|||LADYBUG|||220222  2 ATAL|266017/002|10:30:00|||||||
|||||||LANDAKO UMEAK|||||||||
||240066/240067/240068   2-3 ATAL|||EITB KULTURA - ATALAK|||||||||||
|||||65||240071  2 ATAL|HERRI KIROLAK||||||||
|11:00:00||ADINBERRI||11:00||IPUIN TXIKI...  240058   2 atal||11:00:00|||||||
||||||||Iker Vicente eta||||||||
||40|41|42|MEZA SANTUA|ADINBERRI|TXAKUR PATRULLA|||||TRIBUAREN BERBAK||||
||||||||Otañoren desafioa|||7.0||009|10.0||
|11:30:00|||||43|240327     2 atal||11:30:00|||008||||
|||EITB KULTURA - ATALAK||266017/001||MIRAGARRI|266043/001||||||||
||62|63|64||||||||||||
||MARA MARA||||EITB KULTURA|240066  2 atal|TOLOSA, 2026/01/03||||||||
|12:00:00||||HERRI|||12:00|12:00:00|||||||
||4||||17|SORGIN BALDARRA|||||||||
|||||KIROLAK|||SASKIBALOIA:||||||||
|||TXORIENE|||TXORIENE|240147  atal 1|||||||||
|12:30:00||||KIROL HERRI||ROBIN HOOD|EMAK. ENDESA LIGA|12:30:00|||||||
|||246228|||246228||||||||||
|||||||240069  2 ATAL|||||||||
||86|87|79|Finalak Banaka|80|IDEFIX   220474   atal 1|IDK Euskotren /||||||||
|13:00:00||||||EITB KULTURA||13:00:00|||||||
||||||||Kutxabank Araski||||||||
||JOSEBA ARGIÑANO SUKALERRIAN||||JOSEBA ARGIÑANO|17|||||||||
||||||||||||||||
|13:30:00||256266||256462/005|SUKALERRIAN|MARA MARA|256456/003|13:30:00|||||||
||||||||||||||||
||236213/059|226229/071|226229/066|ASTEASU, 2025/12/31|256266/070|5|DONOSTIA, 12:00||||||||
||||||||||||||||
|14:00:00||||||||14:00:00|||||||
||||GAUR EGUN|||GAUR EGUN|||||||||
||||||||||||||||
||259|260|261|1|2|1|3||||||||
|14:30:00||||||||14:30:00|||||||
|||KIROLAK|LEHENDAKARIAREN MEZUA||KIROLAK|KIROLAK|||||||||
||||256012/001|EGURALDIA|||||||||||
|||EGURALDIA|||EGURALDIA|EGURALDIA|||||||||
|15:00:00||||||||15:00:00|||||||
||||||||||||||||
||MIHILUZE HAURRAK|||BIBA 2026|MIHILUZE|ERREMONTEA|HITZETIK||||||||
||||||||||||||||
|15:30:00||256284|||HAURRAK||HORTZERA|15:30:00|||||||
|||||256471||Binakako Txapelketa|||||||||
||72|73|74||75||15||||||||
|||||||Finala|||||||||
|16:00:00||||||||16:00:00|||||||
||HITZETIK|SOS GABON KANTAK ARRISKUAN|||GURE DOINUAK||HERRI KIROLAK||||||||
||||||||||||||||
||HORTZERA|246211|||GOGORATUZ|256044/012|Kirol Herri||||||||
|16:30:00||||||||16:30:00|||||||
||14|8|9||196138/   83'|BERREMANALDIA|256462/005||||||||
||||||||||||||||
|||||16:55||HERNANI, 2026/01/02|BERREMANALDIA||||||||
|17:00:00||EITB KULTURA - ATALAK||||||17:00:00|||||||
||62|63|64|ETB KANTXA|EITB KULTURA - ATALAK|17:05|17:05||||||||
|||EH!RASMUS|216324  (12)||65||||||||||
||||||EH!RASMUS|ETB KANTXA|ETB KANTXA||||||||
|17:30:00|7|8|9|B Serie Binakako Tx.||||17:30:00|||||||
|||||||10||||||||||
||17:45|||Murua-Gabirondo /||B Serie Binakako Tx.|B Serie Binakako Tx.||||||||
